# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
     229   -0.9922779   -0.1228428    0.6902218    0.7010681   100.091597   61.9916229    0.0698547    0.85597
     230   -0.9469301   -0.1274300    0.6890001    0.7006851   100.478399   62.0627594    0.0711365    0.90894
     231   -0.8627344   -0.1321602    0.6878061    0.7003882   100.876672   62.1238708    0.0611115    0.95016
     232   -0.7431448   -0.1369982    0.6866961    0.7002285   101.282569   62.1650391    0.0411682    0.97438
     233   -0.5930676   -0.1418924    0.6857042    0.7002312   101.691179   62.1791992    0.0141602    0.97912
     234   -0.4186597   -0.1467800    0.6848431    0.7003959   102.096991   62.1641541   -0.0150452    0.96390
     235   -0.2270763   -0.1515980    0.6841002    0.7006961   102.494941   62.1221161   -0.0420380    0.93025
     236   -0.0261769   -0.1562929    0.6834393    0.7010825   102.881234   62.0603790   -0.0617371    0.88196
     237    0.1757963   -0.1608324    0.6828070    0.7014930   103.254190   61.9891205   -0.0712585    0.82506
     238    0.3705574   -0.1652050    0.6821394    0.7018596   103.614132   61.9195862   -0.0695343    0.76815
     239    0.5501164   -0.1694250    0.6813755    0.7021235   103.963500   61.8631744   -0.0564117    0.72135
     240    0.7071068   -0.1735296    0.6804647    0.7022427   104.306431   61.8289490   -0.0342255    0.69485
     241    0.8350880   -0.1775732    0.6793728    0.7021963   104.648154   61.8225861   -0.0063629    0.69562
     242    0.9288096   -0.1816177    0.6780920    0.7019927   104.993971   61.8442688    0.0216827    0.72331
     243    0.9844266   -0.1857262    0.6766405    0.7016670   105.348696   61.8919220    0.0476532    0.77066
     244    0.9996573   -0.1899481    0.6750536    0.7012686   105.715658   61.9569550    0.0650330    0.82780
     245    0.9738770   -0.1943140    0.6733885    0.7008637   106.096105   62.0288239    0.0718689    0.88433
     246    0.9081432   -0.1988306    0.6717062    0.7005161   106.489191   62.0966644    0.0678406    0.93225
     247    0.8051526   -0.2034817    0.6700735    0.7002880   106.891998   62.1479950    0.0513306    0.96477
     248    0.6691306   -0.2082243    0.6685324    0.7002092   107.299973   62.1761322    0.0281372    0.97932
     249    0.5056574   -0.2130041    0.6671171    0.7002971   107.707785   62.1748657   -0.0012665    0.97371
     250    0.3214395   -0.2177572    0.6658335    0.7005372   108.110052   62.1452942   -0.0295715    0.94854
     251    0.1240345   -0.2224226    0.6646614    0.7008899   108.502326   62.0921783   -0.0531158    0.90662
     252   -0.0784591   -0.2269526    0.6635571    0.7012955   108.881928   62.0242157   -0.0679626    0.85323
     253   -0.2777338   -0.2313175    0.6624680    0.7016919   109.247946   61.9523315   -0.0718842    0.79505
     254   -0.4656145   -0.2355137    0.6613274    0.7020118   109.601969   61.8879242   -0.0644073    0.74204
     255   -0.6343933   -0.2395630    0.6600771    0.7022052   109.947446   61.8423462   -0.0455780    0.70454
     256   -0.7771460   -0.2435064    0.6586704    0.7022408   110.289045   61.8219910   -0.0203552    0.69150
     257   -0.8880161   -0.2474022    0.6570787    0.7021113   110.632276   61.8302460    0.0082550    0.70658
     258   -0.9624552   -0.2513123    0.6552992    0.7018368   110.982201   61.8661499    0.0359039    0.74593
     259   -0.9974095   -0.2552977    0.6533585    0.7014657   111.342909   61.9237671    0.0576172    0.79971
